"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201801","경의선","홍대입구","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20180203"
"201801","경의선","김포공항","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","20180203"
"201801","경의선","계양","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20180203"
"201801","경의선","검암","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","20180203"
"201801","1호선","서울역","961","55","10357","7662","13347","45080","37236","103417","68114","228862","50057","155391","57272","77864","80863","75433","92597","81912","94310","83635","79205","79708","100407","82899","111911","85231","143339","88798","238240","97873","137699","78782","93387","51213","98196","45267","64706","36563","28925","20088","3877","7224","0","421","0","0","0","0","20180203"
"201801","1호선","시청","166","95","2156","4196","3302","20052","6897","72564","9389","188486","11474","85676","14708","46365","21182","41396","23720","39738","32226","41377","39021","36918","48278","31600","51297","27060","72705","26419","154176","26482","77041","15656","56417","8300","58057","7482","38282","5463","14835","3388","1031","1016","0","26","0","0","0","0","20180203"
"201801","1호선","종각","143","2","4696","5256","4952","27617","7068","109484","12638","288507","14746","168721","21405","83832","35242","75590","43624","73072","63240","78305","70938","65350","84302","57876","95895","56725","134323","62756","259970","84899","143124","54830","115455","20137","135851","12337","113748","8331","55442","5475","4770","1355","1","3","0","0","0","0","20180203"
"201801","1호선","종로3가","212","59","5034","2396","3989","11408","5875","29506","9974","87082","13230","103829","22244","84029","40437","87528","54569","88729","73272","94502","76178","81409","87110","65797","93714","55806","99747","52081","128923","59216","95774","38287","65235","14493","73666","10249","61132","8170","26458","5268","3020","2359","1","32","1","2","0","0","20180203"
"201801","1호선","종로5가","30","8","1987","3326","2854","14469","5052","40579","8973","125681","12056","80046","19067","57203","29151","59427","38800","59172","51587","57435","60297","52467","65890","46442","67901","40704","84968","36464","126661","35191","73685","21997","45084","10856","37561","7679","28442","5729","11280","3663","755","1048","1","1","0","0","0","0","20180203"
"201801","1호선","동대문","757","40","14824","2140","10219","7203","15538","12273","25627","27818","23328","29807","20195","27784","21419","33876","27627","35692","31489","36191","32494","33587","32972","32433","33319","28663","33433","29276","33115","30500","23160","31547","17500","23122","15758","18199","13101","16811","7422","13762","999","4416","0","90","0","0","0","0","20180203"
"201801","1호선","신설동","270","74","8148","2386","9682","7133","20066","25087","29900","71107","20927","42184","19210","25104","21897","23612","25074","22382","28281","25189","26835","22818","28886","22717","30950","22292","41149","27546","69540","29848","31528","25699","20256","16749","17171","15733","13113","15157","5721","10927","583","2760","0","4","0","0","0","0","20180203"
"201801","1호선","제기동","391","9","4400","1909","8183","7251","22467","17185","33256","47673","22865","35171","23283","36509","31212","51159","40186","60493","48449","67876","56533","60823","66166","49569","64432","35769","53412","27584","49753","27340","25544","24841","15326","14554","11984","12992","8368","12413","3640","8687","290","2003","0","2","0","0","0","0","20180203"
"201801","1호선","청량리(서울시립대입구)","1174","42","11130","3468","17996","11905","44542","19901","65753","42073","42508","37840","35564","38367","40880","50767","47435","58384","51550","70103","58325","68561","66651","62176","70492","55420","66049","54108","57338","68138","37165","56017","30945","33567","22809","30518","15981","30964","7738","20980","491","6612","0","0","0","0","0","0","20180203"
