"type","date","hour","no2_mean","no2_sd"
"Back",2018-01-01,1,20.5,0.707106781186548
"Back",2018-01-01,2,18,2.82842712474619
"Back",2018-01-01,3,24.5,3.53553390593274
"Back",2018-01-01,4,27.5,3.53553390593274
"Back",2018-01-01,5,26.5,3.53553390593274
"Back",2018-01-01,6,29.5,3.53553390593274
"Back",2018-01-01,7,32,2.82842712474619
"Back",2018-01-01,8,35,4.24264068711928
"Back",2018-01-01,9,39,2.82842712474619
"Back",2018-01-01,10,26,2.82842712474619
"Back",2018-01-01,11,19.5,4.94974746830583
"Back",2018-01-01,12,18,0
"Back",2018-01-01,13,12.5,2.12132034355964
"Back",2018-01-01,14,17.5,0.707106781186548
"Back",2018-01-01,15,19,2.82842712474619
"Back",2018-01-01,16,18.5,0.707106781186548
"Back",2018-01-01,17,21.5,3.53553390593274
"Back",2018-01-01,18,28.5,0.707106781186548
"Back",2018-01-01,19,35.5,2.12132034355964
"Back",2018-01-01,20,45,2.82842712474619
"Back",2018-01-01,21,47.5,0.707106781186548
"Back",2018-01-01,22,49,0
"Back",2018-01-01,23,52.5,0.707106781186548
"Back",2018-01-02,0,51.5,2.12132034355964
"Back",2018-01-02,1,52.5,3.53553390593274
"Back",2018-01-02,2,53,7.07106781186548
"Back",2018-01-02,3,57.5,14.8492424049175
"Back",2018-01-02,4,55,5.65685424949238
"Back",2018-01-02,5,55,1.4142135623731
"Back",2018-01-02,6,54,1.4142135623731
"Back",2018-01-02,7,57.5,0.707106781186548
"Back",2018-01-02,8,62.5,4.94974746830583
"Back",2018-01-02,9,70.5,3.53553390593274
"Back",2018-01-02,10,66,2.82842712474619
"Back",2018-01-02,11,42,7.07106781186548
"Back",2018-01-02,12,31,1.4142135623731
"Back",2018-01-02,13,24,1.4142135623731
"Back",2018-01-02,14,21,7.07106781186548
"Back",2018-01-02,15,19,5.65685424949238
"Back",2018-01-02,16,20,4.24264068711928
"Back",2018-01-02,17,21.5,2.12132034355964
"Back",2018-01-02,18,25,2.82842712474619
"Back",2018-01-02,19,32,4.24264068711928
"Back",2018-01-02,20,24.5,2.12132034355964
"Back",2018-01-02,21,21.5,0.707106781186548
"Back",2018-01-02,22,19.5,0.707106781186548
"Back",2018-01-02,23,21.5,2.12132034355964
"Back",2018-01-03,0,13,4.24264068711928
"Back",2018-01-03,1,13,1.4142135623731
"Back",2018-01-03,2,14.5,0.707106781186548
"Back",2018-01-03,3,14,0
"Back",2018-01-03,4,13,0
