ticks,sajikro,yulgokno,jongno,twegero,sejongdaero,samildaero,roadmean
1,20.69768227,20.99194886,21.0991618,20.50527837,20.69230064,20.97273722,20.85
2,21.12833514,21.0789189,20.71723394,20.68708466,20.85328675,21.04528613,20.86
3,20.52591908,21.14863594,21.17558518,21.03862429,20.53498078,20.84443107,20.86
4,18.19572502,18.41184162,18.02014529,18.66230158,18.37402293,18.5047064,18.37
5,18.33752424,18.16878088,18.34007285,18.35764315,18.34200748,18.19108037,18.37
6,18.23193007,18.00811725,18.06457961,18.22060529,18.59137408,18.43346912,18.37
7,24.87181075,24.64094873,24.84379744,24.90206819,24.76532734,24.55243724,24.88
8,25.09423231,24.73731044,24.89706015,25.14154722,24.71046294,24.92892953,24.88
9,25.19314637,24.80104711,24.94563813,24.77042568,24.54317974,24.70947743,24.88
10,28.14587689,27.58940177,30.61957444,27.59080718,27.55751131,27.81732628,27.88
11,28.18075033,27.62587281,30.92347531,27.75279987,27.72636469,27.64003444,27.88
12,28.03887424,27.53956745,30.54443977,27.87402243,27.57943905,28.20579573,27.88
13,27.11296738,26.76964359,29.80404559,26.87533689,26.680573,27.05226855,26.88
14,27.08199809,26.61608648,29.74818912,26.97607277,27.02571769,26.90118899,26.88
15,26.63116641,26.91921944,29.23486949,27.13437075,27.15981616,26.52373368,26.87
16,30.16716269,29.59560586,30.12867926,29.8539528,29.90193554,30.10633549,29.88
17,29.83548424,29.90253157,29.9369644,30.19563867,30.11448819,29.62529974,29.87
18,29.51476838,30.10600516,29.69631817,30.15838524,29.67844079,29.95931865,29.87
19,32.33089724,32.56339399,32.22852533,32.18924346,32.16951142,32.30634836,32.38
20,32.65005061,32.3026144,32.58844439,32.15864895,32.51586831,32.28973808,32.38
21,32.28753427,32.15322629,32.50260992,32.05103134,32.10533179,32.14654347,32.38
22,35.27791406,35.1478157,35.57357326,35.31109407,35.35297748,35.19312277,35.38
23,35.28171862,35.54840142,35.42238007,35.672096,35.14832428,35.4830693,35.39
24,35.09776915,35.40520412,35.41553758,35.33632902,35.34387046,35.288639,35.39
25,39.15769055,39.13477862,39.52654162,39.1285958,39.21389239,39.42753013,39.4
26,39.50130079,39.26705343,39.62470125,39.62485952,39.19636626,39.23846288,39.4
27,39.29772802,39.55421518,39.53370766,39.49721829,39.22421068,39.6538809,39.4
28,26.40051585,26.02046531,26.13568573,26.06646025,26.61448791,26.64015923,26.39
29,26.58142389,26.24189122,26.06434641,26.40443216,26.57211724,26.4498453,26.4
30,26.41291628,26.47774422,26.50729048,26.45499138,26.60699107,26.27234804,26.4
31,19.85888348,20.16612867,19.94309344,19.79908558,19.95184651,19.63042412,19.89
32,20.13748038,20.02361525,19.54335998,19.8779667,20.13980316,20.03766024,19.89
33,19.89952061,19.54037805,19.50145169,19.72855028,19.66147431,19.61556496,19.89
34,18.099676,18.29552513,18.15896097,18.5975806,18.14447032,18.27029561,18.38
35,18.41670377,18.52958343,18.47761826,18.65946555,18.32383617,18.26461161,18.38
36,18.66890767,18.18505183,18.29667118,18.19132383,18.1013623,18.30554598,18.38
37,13.08253483,12.75274869,13.06578869,13.0215716,13.08562611,12.87412754,12.87
38,12.51718542,12.91328633,12.82645805,12.50614619,12.99049079,12.70283042,12.87
39,13.19890493,13.0285806,12.51945743,12.72415105,12.56145189,13.0137919,12.87
40,18.05180473,17.64589802,17.65716719,17.79257724,17.56512004,17.68005971,17.88
41,17.70973735,18.19828285,17.95384244,17.76221765,18.01850298,18.07907412,17.88
42,17.72185981,18.14486323,17.63374277,18.10923354,17.72123841,18.10776356,17.88
43,19.39495495,19.36615359,19.35865815,19.09521056,19.11038141,19.24996227,19.38
44,19.17255777,19.06975125,19.47309467,19.2662825,19.25711897,19.40734176,19.38
45,19.06138162,19.34658662,19.10479409,19.31951668,19.46865513,19.50043821,19.38
46,19.14098209,19.16334469,18.63445825,18.59165476,18.61999962,18.58816355,18.87
47,18.81606239,18.85435713,18.87138134,18.75711463,18.6120788,18.70849095,18.87
